value,type
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
23,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
24,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
19,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
22,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
21,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
20,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
18,Kept
